✅ = included in package  ❌ = not included (available as add-on / project where applicable)

---

## DE WORKPLACE (Systems We Supply + Manage)

### SMART HR

| Sub-item                             | Office | Business | Enterprise |
| ------------------------------------ | :----: | :------: | :--------: |
| HRIS / Employee Directory            |    ❌   |     ✅    |      ✅     |
| Onboarding & Offboarding Workflows   |    ❌   |     ✅    |      ✅     |
| Offer Letters & E-Sign               |    ❌   |     ✅    |      ✅     |
| Policies / Handbook Acknowledgements |    ❌   |     ✅    |      ✅     |
| PTO Requests & Approvals             |    ❌   |     ✅    |      ✅     |
| Time Tracking                        |    ❌   |     ✅    |      ✅     |
| Performance Reviews                  |    ❌   |     ❌    |      ✅     |
| Training / LMS                       |    ❌   |     ❌    |      ✅     |

### SMART IDENTITY

| Sub-item                             | Office | Business | Enterprise |
| ------------------------------------ | :----: | :------: | :--------: |
| Directory / Users & Groups           |    ✅   |     ✅    |      ✅     |
| MFA                                  |    ✅   |     ✅    |      ✅     |
| SSO                                  |    ✅   |     ✅    |      ✅     |
| Passwordless Login                   |    ❌   |     ✅    |      ✅     |
| Password Manager (1Password)         |    ✅   |     ✅    |      ✅     |
| User Provisioning / Deprovisioning   |    ✅   |     ✅    |      ✅     |
| Conditional Access / Access Policies |    ❌   |     ✅    |      ✅     |
| Device Trust                         |    ❌   |     ✅    |      ✅     |
| Automatic Network Access             |    ❌   |     ✅    |      ✅     |
| Privileged Access (Admin Controls)   |    ❌   |     ❌    |      ✅     |
| Access Reviews / Audit Logs          |    ❌   |     ❌    |      ✅     |
| Contacts & Calendar                  |    ✅   |     ✅    |      ✅     |

### SMART COMMUNICATIONS

| Sub-item                               | Office | Business | Enterprise |
| -------------------------------------- | :----: | :------: | :--------: |
| Email Inbox + Mailboxes                |    ✅   |     ✅    |      ✅     |
| Team Chat                              |    ✅   |     ✅    |      ✅     |
| Mobile Management (MDM)                |    ❌   |     ✅    |      ✅     |
| Company Line (UCaaS)                   |    ✅   |     ✅    |      ✅     |
| Call Routing (Auto Attendant / Queues) |    ❌   |     ✅    |      ✅     |
| Voicemail & Transcription              |    ✅   |     ✅    |      ✅     |
| Call Recording                         |    ❌   |     ❌    |      ✅     |
| Desk Phone                             |    ❌   |     ✅    |      ✅     |
| SMS / Business Texting                 |    ❌   |     ✅    |      ✅     |
| Video Conferencing                     |    ✅   |     ✅    |      ✅     |
| Meeting Rooms / Conference Rooms       |    ❌   |     ❌    |      ✅     |
| eFax                                   |    ❌   |     ❌    |      ✅     |

### SMART TEAM COLLABORATION

| Sub-item                            | Office | Business | Enterprise |
| ----------------------------------- | :----: | :------: | :--------: |
| File Storage & Sharing              |    ✅   |     ✅    |      ✅     |
| Shared Drives / Team Spaces         |    ✅   |     ✅    |      ✅     |
| Internal Wiki / Knowledge Base      |    ❌   |     ✅    |      ✅     |
| Projects / Task Management          |    ❌   |     ✅    |      ✅     |
| Shared Templates (SOPs, Checklists) |    ❌   |     ✅    |      ✅     |
| Approvals / Simple Workflows        |    ❌   |     ✅    |      ✅     |
| Forms / Intake Requests             |    ✅   |     ✅    |      ✅     |
| Search / Content Discovery          |    ❌   |     ❌    |      ✅     |

---

## DE SECURITY (Controls That Protect Workplace + Everything Else)

| Sub-item                                                     | Office | Business | Enterprise |
| ------------------------------------------------------------ | :----: | :------: | :--------: |
| Email Protection (anti-phish/filtering/content controls)     |    ✅   |     ✅    |      ✅     |
| Endpoint Security (EDR)                                      |    ✅   |     ✅    |      ✅     |
| SOC / MDR Monitoring + Response                              |    ❌   |     ✅    |      ✅     |
| Browser / Web Security Controls                              |    ❌   |     ✅    |      ✅     |
| Data Protection Controls (DLP-style controls as implemented) |    ❌   |     ❌    |      ✅     |
| Security Awareness Training                                  |    ❌   |     ✅    |      ✅     |
| Security Logging / Reporting (as implemented)                |    ❌   |     ✅    |      ✅     |
| SIEM Integration (if required)                               |    ❌   |     ❌    |      ✅     |

---

## DE INFRASTRUCTURE (Connectivity + Network + Core Systems)

| Sub-item                                                  | Office | Business | Enterprise |
| --------------------------------------------------------- | :----: | :------: | :--------: |
| Managed Network (firewall/switch/Wi-Fi management)        |    ✅   |     ✅    |      ✅     |
| Managed Internet (ISP coordination)                       |    ✅   |     ✅    |      ✅     |
| Internet Failover Options                                 |    ❌   |     ✅    |      ✅     |
| Site-to-Site Connectivity                                 |    ❌   |     ✅    |      ✅     |
| Remote Access Architecture (SASE / ZTNA where applicable) |    ✅   |     ✅    |      ✅     |
| Network Segmentation Standards                            |    ❌   |     ✅    |      ✅     |
| Managed Power / UPS (where applicable)                    |    ❌   |     ❌    |      ✅     |

---

## DE SUPPORT (Service Provider Delivery)

| Sub-item                                 | Office | Business | Enterprise |
| ---------------------------------------- | :----: | :------: | :--------: |
| Service Desk / Ticketing                 |    ✅   |     ✅    |      ✅     |
| User Support for DE-Supplied Systems     |    ✅   |     ✅    |      ✅     |
| Vendor Management + Escalations          |    ✅   |     ✅    |      ✅     |
| Change Requests + Access Changes         |    ✅   |     ✅    |      ✅     |
| Standards-Based Configuration Management |    ✅   |     ✅    |      ✅     |

---

## DE MANAGED ASSESSMENTS (Discovery + Risk + Planning)

| Sub-item                                | Office | Business | Enterprise |
| --------------------------------------- | :----: | :------: | :--------: |
| Site & IAM Survey                       |    ✅   |     ✅    |      ✅     |
| Network Survey                          |    ✅   |     ✅    |      ✅     |
| Cyber Risk Assessment                   |    ❌   |     ✅    |      ✅     |
| Penetration Testing (as scoped)         |    ❌   |     ❌    |      ✅     |
| Executive Readout + Remediation Roadmap |    ❌   |     ✅    |      ✅     |
| Technology Business Reviews (vCIO)      |    ❌   |     ✅    |      ✅     |

---

## DE BACKUP & RECOVERY (Business Continuity)
